title,degree,school,location,price,duration,selected
Artificial Intelligence,Full-time,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / year",1 year,
Business Analytics,M.Sc.,College of William & Mary,"Williamsburg, Virginia, United States","28,446 EUR / year",1 year,
Artificial Intelligence and Cloud,Full-time,Politecnico di Torino,Multiple locations,0 EUR / year,1 year,
Health Informatics and Data Science,M.Sc.,Georgetown University,"Washington, D. C., Washington, D.C., United States","43,630 EUR / year",1½ years,
"Artificial Intelligence, Computer Vision, and Control",M.Eng.,Illinois Institute of Technology,"Chicago, Illinois, United States","1,319 EUR / credit",1 year,
Artificial Intelligence,M.Eng.,University of Cincinnati,"Cincinnati, Ohio, United States","21,779 EUR / year",1 year,
Information and Data Engineering,M.Eng.,Stevens Institute of Technology,"Hoboken, New Jersey, United States","31,777 EUR / year",1 year,
Artificial Intelligence,M.Sc.,University of Georgia,"Athens, Georgia, United States","20,587 EUR / year",1 year,
Artificial Intelligence,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,
Computer Science (Data Science),M.Sc.,Texas State University,"San Marcos, Texas, United States",missing,1 year,
Data Analytics and Information Systems,M.Sc.,Texas State University,"San Marcos, Texas, United States",missing,1 year,
Machine Learning Engineering,M.Sc.,Drexel University College of Engineering,"Philadelphia, Pennsylvania, United States","1,097 EUR / credit",2 years,
Applied Mathematics and Statistics,M.A.,Johns Hopkins University,"Baltimore, Maryland, United States","46,600 EUR / year",1 year,
"Computer Science, Data Science Concentration",M.Sc.,Fitchburg State University,"Fitchburg, Massachusetts, United States",261 EUR / credit,2 years,
Biomedical Data Science,M.Sc.,University of Wisconsin Madison,"Madison, Wisconsin, United States","20,865 EUR / year",2 years,
Business Analytics,M.Sc.,Boston University,"Boston, Massachusetts, United States","46,473 EUR / year",1 year,
Electrical Engineering - Signal Processing and Machine Learning,M.Sc.,University of Wisconsin Madison,"Madison, Wisconsin, United States","20,865 EUR / year",1 year,
Public Health Data Science,M.Sc.,University of Southern California,"Los Angeles, California, United States","48,439 EUR / year",1 year,
Biostatistics,Full-time,University of Maryland,"College Park, Maryland, United States","31,879 EUR / year",2 years,
Statistics,M.Sc.,"University of California, Los Angeles (UCLA)","Beverly Hills, California, United States","26,637 EUR / year",1 year,
Science in Business Analytics,M.B.A.,Hamline University,"Saint Paul, Minnesota, United States",617 EUR / credit,1 year,
Analytics,M.Sc.,University of New Hampshire,"Durham, New Hampshire, United States","22,732 EUR / year",1 year,
Financial Analytics,M.Sc.,Stevens Institute of Technology,"Hoboken, New Jersey, United States","31,777 EUR / year",2 years,
Business Intelligence and Analytics,M.Sc.,Rockhurst University,"Kansas City, Missouri, United States",593 EUR / credit,1 year,
Analytics,M.Sc.,Georgetown University,"Washington, D. C., Washington, D.C., United States","47,411 EUR / year",1 year,
Machine Learning,M.Sc.,Carnegie Mellon University,"Pittsburgh, Pennsylvania, United States","40,952 EUR / year",2 years,
Business Analytics,M.Sc.,University of Illinois at Chicago,"Chicago, Illinois, United States","20,221 EUR / year",2 years,
Applied Mathematics - Data Analytics,M.Sc.,Manhattan College,"New York City, New York, United States",940 EUR / credit,1 year,
