title,url,school,degree,pace,duration,languages,based,price
Master of Science in Business Administration,https://www.masterstudies.com/Master-of-Science-in-Business-Administration/USA/University-of-Saint-Francis-School-of-Business/,University of Saint Francis School of Business,Master,Full-time                                                     Part-time,2Years,English,Campus,
Master of Science in Strategic Finance (M.S.F.),https://www.masterstudies.com/Master-of-Science-in-Strategic-Finance-(M.S.F.)/USA/Indiana-University-Southeast-School-of-Business/,Indiana University Southeast School of Business,MSc,Full-time,1Years,,Campus,
Master of Business Administration- Maple Grove Program,https://www.masterstudies.com/Master-of-Business-Administration-Maple-Grove-Program/USA/G.-R.-Herberger-College-of-Business-Saint-Cloud-State-University/,"G. R. Herberger College of Business, Saint Cloud State University",Master,,26Months,,Campus,
Master of Accountancy (MAcc),https://www.masterstudies.com/Master-of-Accountancy-(MAcc)/USA/Texas-A-and-M-University-Corpus-Christi-College-of-Business/,Texas A & M University Corpus Christi College of Business,Master,Full-time,,,Campus,
Professional Program in Accounting (PPA),https://www.masterstudies.com/Professional-Program-in-Accounting-(PPA)/USA/Texas-A-and-M-University-Corpus-Christi-College-of-Business/,Texas A & M University Corpus Christi College of Business,Master,Full-time,2Years,,Campus,
Master of Health Administration,https://www.masterstudies.com/Master-of-Health-Administration/USA/Pfeiffer-University-School-of-Graduate-Studies/,Pfeiffer University School of Graduate Studies,Master,Full-time,5Semesters,,Campus,
Master of Science in Organizational Change and Leadership (MSL),https://www.masterstudies.com/Master-of-Science-in-Organizational-Change-and-Leadership-(MSL)/USA/Pfeiffer-University-School-of-Graduate-Studies/,Pfeiffer University School of Graduate Studies,MSc,Part-time,2Years,,Campus Online,
Master of Public Administration (MPA),https://www.masterstudies.com/Master-of-Public-Administration-(MPA)/USA/Troy-University/,Troy University,Master,Full-time                                                     Part-time,,,Online,
Master of International Relations (MSIR),https://www.masterstudies.com/Master-of-International-Relations-(MSIR)/USA/Troy-University/,Troy University,Master,Full-time                                                     Part-time,,,Online,
Master of Science in Human Resources Management (MSHRM),https://www.onlinestudies.com/Master-of-Science-in-Human-Resources-Management-(MSHRM)/USA/Troy-University/,Troy University,MSc,Full-time,,English,Online,
Master of Science in Management (MSM),https://www.onlinestudies.com/Master-of-Science-in-Management-(MSM)/USA/Troy-University/,Troy University,MSc,Full-time,,,Online,
Master of Health Administration (MHA),https://www.masterstudies.com/Master-of-Health-Administration-(MHA)/USA/University-of-Phoenix-Online/,University of Phoenix Online,Master,Full-time                                                     Part-time,2Years,,Online,
Master of Science in Operations and Technology Management - MSOTM,https://www.masterstudies.com/Master-of-Science-in-Operations-and-Technology-Management-MSOTM/USA/University-of-Portland-Pamplin-School-of-Business/,"University of Portland, Pamplin School of Business",MSc,Part-time,9Months,English,Campus,
Executive Management Programs,https://www.masterstudies.com/Executive-Management-Programs/USA/Peter-F.-Drucker-and-Masatoshi-Ito-Graduate-School-of-Management-Claremont-Graduate-University/,"Peter F. Drucker and Masatoshi Ito Graduate School of Management, Claremont Graduate University",Master,Full-time                                                     Part-time,,,Campus,
Master of Science in Marketing,https://www.masterstudies.com/Master-of-Science-in-Marketing/USA/LCB/,"Carl H. Lindner College of Business, University of Cincinnati",MSc,Full-time                                                     Part-time,9Months,English,Campus,
M.S. in Managerial Science,https://www.masterstudies.com/M.S.-in-Managerial-Science/USA/Amberton-University/,Amberton University,MSc,Full-time,,,Campus,
MS or MBA Bridge,https://www.mbastudies.com/MS-or-MBA-Bridge/USA/udallas-cob/,University of Dallas College of Business,MBA,Full-time                                                     Part-time,,English,Campus,
MA in Communication Studies,https://www.masterstudies.com/MA-in-Communication-Studies/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MS in Computer Information Systems,https://www.masterstudies.com/MS-in-Computer-Information-Systems/USA/Kean/,Kean University,MSc,Full-time                                                     Part-time,,,Campus,
MS in Exercise Science,https://www.masterstudies.com/MS-in-Exercise-Science/USA/Kean/,Kean University,MSc,Full-time                                                     Part-time,,English,Campus,
MA in Fine Arts Education: Studio,https://www.masterstudies.com/MA-in-Fine-Arts-Education-Studio/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MA in Counseling: Alcohol and Drug Abuse Counseling,https://www.masterstudies.com/MA-in-Counseling-Alcohol-and-Drug-Abuse-Counseling/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MA in Psychology: Psychological Services,https://www.masterstudies.com/MA-in-Psychology-Psychological-Services/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MA in Psychology:Human Behavior and Organization Psychology,https://www.masterstudies.com/MA-in-PsychologyHuman-Behavior-and-Organization-Psychology/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
Master of Public Administration,https://www.masterstudies.com/Master-of-Public-Administration/USA/Kean/,Kean University,Master,Full-time                                                     Part-time,,,Campus,
Master of Public Administration:Health Service Administration,https://www.masterstudies.com/Master-of-Public-AdministrationHealth-Service-Administration/USA/Kean/,Kean University,Master,Full-time                                                     Part-time,,,Campus,
Master of Public Administration: Environmental Management,https://www.masterstudies.com/Master-of-Public-Administration-Environmental-Management/USA/Kean/,Kean University,Master,Full-time                                                     Part-time,,,Campus,
Master of Public Administration: Non-Profit Management,https://www.masterstudies.com/Master-of-Public-Administration-Non-Profit-Management/USA/Kean/,Kean University,Master,Full-time                                                     Part-time,,,Campus,
MA in Sociology and Social Justice,https://www.masterstudies.com/MA-in-Sociology-and-Social-Justice/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
MA in English & Writing Studies,https://www.masterstudies.com/MA-in-English-and-Writing-Studies/USA/Kean/,Kean University,MA,Full-time                                                     Part-time,,,Campus,
Master of Liberal Studies,https://www.masterstudies.com/Master-of-Liberal-Studies/USA/FHSU/,Fort Hays State University Graduate School,Master,Full-time                                                     Part-time,31Hours,English,Campus Online,
Master of Fine Arts,https://www.masterstudies.com/Master-of-Fine-Arts/USA/FHSU/,Fort Hays State University Graduate School,MA,Full-time                                                     Part-time,60Hours,,Campus,
Master of Science in Biology,https://www.masterstudies.com/Master-of-Science-in-Biology/USA/FHSU/,Fort Hays State University Graduate School,MSc,Full-time                                                     Part-time,30-36Hours,,Campus,
Master of Science in Geosciences,https://www.masterstudies.com/Master-of-Science-in-Geosciences/USA/FHSU/,Fort Hays State University Graduate School,MSc,Full-time                                                     Part-time,30-36Hours,,Campus,
Master of Science in Communication,https://www.masterstudies.com/Master-of-Science-in-Communication/USA/FHSU/,Fort Hays State University Graduate School,MSc,Full-time                                                     Part-time,30-33Hours,,Campus,
Master of Arts in Communication and Leadership,https://www.masterstudies.com/Master-of-Arts-in-Communication-and-Leadership/USA/Park-University/,Park University,MA,,0Hours,,Campus Online,
Master of Arts in Educational Leadership,https://www.masterstudies.com/Master-of-Arts-in-Educational-Leadership/USA/Park-University/,Park University,MA,,8Weeks,,Campus,
